candidate_id,disposition,verification_status,category,game_id,move_number,played_san,best_san,concept_label,canonical_concept_id,caption,lesson,issues
04695f7616d54d58,eligible_positional,pass,take_available_piece,d105fce0-f33d-4c99-b09a-0a99910c7309,38,Ba6,Bxf3,Take the concrete gain first,TAC_CHECKS_CAPTURES_THREATS,Ba6 moves the bishop to a6 and leaves that capture unused. Bxf3 takes the pawn on f3 before moving elsewhere. Bxf3 changes the material on the board immediately; Ba6 does not. Check every safe capture before choosing a quiet move; a concrete capture can matter more than slow improvement.,Check every safe capture before choosing a quiet move; a concrete capture can matter more than slow improvement.,
e324b14aecee8a63,eligible_positional,pass,rook_file,game_4cea51fcad39,21,c4,Rg1,Put the rook where pawns do not block it,MID_ROOK_OPEN_FILE,"c4 moves the pawn to c4 instead of placing the rook on the g-file. Rg1 puts the rook on g1, on the semi-open g-file. On g1 the rook has the file available; c4 leaves the rook out of that lane. When no tactic is urgent, look for an open or semi-open file for a rook.","When no tactic is urgent, look for an open or semi-open file for a rook.",
50455fe617c1a0f2,eligible_positional,pass,rook_file,game_4cea51fcad39,20,Bd4,Rad1,Put the rook where pawns do not block it,MID_ROOK_OPEN_FILE,"Bd4 moves the bishop to d4 instead of placing the rook on the d-file. Rad1 puts the rook on d1, on the semi-open d-file. On d1 the rook has the file available; Bd4 leaves the rook out of that lane. When no tactic is urgent, look for an open or semi-open file for a rook.","When no tactic is urgent, look for an open or semi-open file for a rook.",
fb1659c820cb61e3,eligible_positional,pass,create_concrete_threat,ca5488b7-33ee-4df4-ba49-2d39a740074f,54,Re1,Be5+,Make a threat with a target,TAC_CHECKS_CAPTURES_THREATS,"Re1 puts the rook on e1 without creating that attack. Be5+ puts the bishop on e5, attacking the king on g3. Be5+ gives the opponent a concrete piece to answer on g3; Re1 does not. A useful improving move should attack, defend, or create a clear next threat.","A useful improving move should attack, defend, or create a clear next threat.",
890e42321353be4a,eligible_positional,pass,take_available_piece,76f68e3f-3b76-4947-b959-eea305ecb504,46,a4,Bxb5,Take the concrete gain first,TAC_CHECKS_CAPTURES_THREATS,a4 moves the pawn to a4 and leaves that capture unused. Bxb5 takes the rook on b5 before moving elsewhere. Bxb5 changes the material on the board immediately; a4 does not. Check every safe capture before choosing a quiet move; a concrete capture can matter more than slow improvement.,Check every safe capture before choosing a quiet move; a concrete capture can matter more than slow improvement.,
f4c4e513da26a5f7,eligible_positional,pass,avoid_reply_attack,489e0172-847d-4be0-ac43-2c2e0b59cfd4,44,Kd2,b5,Do not give the reply a target,TAC_CHANGED_AFTER_MOVE,"Kd2 allows this reply: Black answers Rc8, attacking the pawn on c7. b5 changes the setup; after it, Black answers Kh1, and the continuation reaches b6. Only Kd2 lets the reply attack the piece on c7; b5 avoids that version. Before settling on a move, check whether the opponent's reply attacks a piece and forces you to respond.","Before settling on a move, check whether the opponent's reply attacks a piece and forces you to respond.",
77f4153c4d0a1af4,eligible_positional,pass,advance_passed_pawn,f1306649-f91c-4013-89d4-fa100c43dc34,51,Ra4,h4,Push the passed pawn with purpose,END_PASSED_PAWN,"Ra4 moves the rook to a4 and leaves that pawn on h5. h4 advances the passed pawn to h4, one rank closer to promotion. h4 makes the opponent answer the passed pawn sooner; Ra4 gives it no progress. In an endgame, calculate whether a passed pawn can advance safely before making a side move.","In an endgame, calculate whether a passed pawn can advance safely before making a side move.",
7f1740793472b593,eligible_positional,pass,king_recaptures_keep_pawn,efca4d05-421b-4ff7-9be8-adc964bad8b3,30,bxc3,Kxc3,Use the king and keep the pawn,END_KING_ACTIVE,"bxc3 uses the pawn from b2 for the same capture. Kxc3 uses the king from d2 to recapture on c3. Both moves capture on c3, but Kxc3 keeps the pawn on b2. When the king can recapture safely in an endgame, compare whether using it preserves your pawn structure.","When the king can recapture safely in an endgame, compare whether using it preserves your pawn structure.",
ca95638cff2c334c,eligible_positional,pass,avoid_reply_capture,448c16f4-85c5-4ee9-907e-947c0a5c9794,44,Kb4,Kd6,Check what the reply can take,TAC_CHANGED_AFTER_MOVE,"Kb4 allows this concrete reply: Black answers Rxb5+, taking the pawn on b5. Kd6 changes the position first; after it, Black answers Rd5+, checking the king from d5. Only Kb4 gives the immediate capture on b5; Kd6 avoids that version. After choosing a move, scan every opponent capture before judging the move safe.","After choosing a move, scan every opponent capture before judging the move safe.",
a279d160b5e7e4d6,eligible_positional,pass,avoid_reply_attack,game_ef33e38bbf78,33,g4,Re7,Do not give the reply a target,TAC_CHANGED_AFTER_MOVE,"g4 allows this reply: Black answers Qf7, attacking the queen on f5. Re7 changes the setup; after it, Black answers Rh7, and the continuation reaches Qe6+. Only g4 lets the reply attack the piece on f5; Re7 avoids that version. Before settling on a move, check whether the opponent's reply attacks a piece and forces you to respond.","Before settling on a move, check whether the opponent's reply attacks a piece and forces you to respond.",
bc53e6569846158e,eligible_positional,pass,take_available_piece,487febc0-d8c4-43c7-bb65-b6aca9cec181,58,f5,Rxh2,Take the concrete gain first,TAC_CHECKS_CAPTURES_THREATS,f5 moves the pawn to f5 and leaves that capture unused. Rxh2 takes the pawn on h2 before moving elsewhere. Rxh2 changes the material on the board immediately; f5 does not. Check every safe capture before choosing a quiet move; a concrete capture can matter more than slow improvement.,Check every safe capture before choosing a quiet move; a concrete capture can matter more than slow improvement.,
318c3517e620dbb9,eligible_positional,pass,avoid_forcing_check,448c16f4-85c5-4ee9-907e-947c0a5c9794,39,Rxa6,Kd3,Answer forcing moves before your plan,TAC_CHECKS_CAPTURES_THREATS,"Rxa6 allows this concrete reply: Black answers c5+, checking the king from c5. Kd3 changes the move order; after it, Black answers c5, and the continuation reaches g3. The check after Rxa6 forces a response, while Kd3 avoids that immediate check. Before starting your plan, look for the opponent's checks and deal with the forcing one first.","Before starting your plan, look for the opponent's checks and deal with the forcing one first.",
a3fad576efb9c9bd,eligible_positional,pass,rook_file,b712292f-7981-4a75-98d0-06789b017f20,16,Nd2,Re8+,Put the rook where pawns do not block it,MID_ROOK_OPEN_FILE,"Nd2 moves the knight to d2 instead of placing the rook on the e-file. Re8+ puts the rook on e8, on the open e-file. On e8 the rook has the file available; Nd2 leaves the rook out of that lane. When no tactic is urgent, look for an open or semi-open file for a rook.","When no tactic is urgent, look for an open or semi-open file for a rook.",
55fd14180be49a41,eligible_positional,pass,limit_the_reply_capture,game_da29f2ff8e27,19,Rh3,Ne4,Do not offer the larger target,TAC_CHANGED_AFTER_MOVE,"Rh3 allows the larger capture: Black answers Bxh3, taking the rook on h3. Ne4 changes what can be taken; Black answers exf4, taking the pawn on f4. After Rh3, the reply takes a rook; after Ne4, it takes only a pawn. When both moves allow a capture, choose the line that keeps the more valuable piece safe.","When both moves allow a capture, choose the line that keeps the more valuable piece safe.",
